ClassName	CodeNumb
RPL23AP24	0
WBP1LP7	1
MTND1P23	2
FAM87B	3
LINC00115	4
LINC00115;LINC01128	5
LINC01128	6
FAM41C	7
LINC02593	8
SAMD11	9
SAMD11;NOC2L	10
NOC2L	11
KLHL17	12
PLEKHN1	13
PERM1	14
HES4	15
ISG15	16
AGRN	17
RNF223	18
C1orf159	19
LINC01342	20
MIR200B	21
MIR200A	22
MIR429	23
TTLL10	24
TNFRSF18	25
TNFRSF4	26
SDF4	27
B3GALT6	28
C1QTNF12	29
UBE2J2	30
LINC01786	31
SCNN1D	32
ACAP3	33
ACAP3;PUSL1	34
PUSL1	35
PUSL1;INTS11	36
INTS11	37
CPTP	38
TAS1R3	39
DVL1	40
MXRA8	41
AURKAIP1	42
NDUFB4P8	43
CCNL2	44
MRPL20	45
ANKRD65	46
TMEM88B	47
VWA1	48
ATAD3C	49
ATAD3B	50
ATAD3A	51
TMEM240	52
SSU72	53
FNDC10	54
MIB2	55
MMP23B	56
CDK11B	57
SLC35E2B	58
MMP23A	59
CDK11A	60
SLC35E2A	61
NADK	62
GNB1	63
CALML6	64
CFAP74	65
GABRD	66
PRKCZ	67
PRKCZ;FAAP20	68
FAAP20	69
SKI	70
MORN1	71
RER1	72
PEX10	73
PLCH2	74
PANK4	75
HES5	76
TNFRSF14	77
PRXL2B	78
MMEL1	79
TTC34	80
ACTRT2	81
PRDM16	82
ARHGEF16	83
MEGF6	84
TPRG1L	85
WRAP73	86
TP73	87
CCDC27	88
SMIM1	89
LRRC47	90
CEP104	91
LINC02780	92
EEF1DP6	93
LINC01777	94
LINC01646	95
AJAP1	96
LINC02781	97
LINC02782	98
MIR4689	99
NPHP4	100
NPHP4;KCNAB2	101
KCNAB2	102
CHD5	103
RPL22	104
RPL22;RNF207	105
RNF207	106
ICMT	107
HES3	108
GPR153	109
ACOT7	110
HES2	111
ESPN	112
TNFRSF25	113
PLEKHG5	114
NOL9	115
TAS1R1	116
ZBTB48	117
KLHL21	118
KLHL21;PHF13	119
PHF13	120
THAP3	121
THAP3;DNAJC11	122
DNAJC11	123
LINC01672	124
CAMTA1	125
VAMP3	126
PER3	127
PER3;UTS2	128
UTS2	129
TNFRSF9	130
PARK7	131
ERRFI1	132
RPL7AP18	133
LINC01714	134
SLC45A1	135
RERE	136
ENO1	137
HMGN2P17	138
CA6	139
RN7SL451P	140
SLC2A7	141
SLC2A5	142
GPR157	143
MIR34AHG	144
MIR34AHG;LNCTAM34A	145
H6PD	146
SPSB1	147
LINC02606	148
SLC25A33	149
TMEM201	150
PIK3CD	151
CLSTN1	152
CLSTN1;MZT1P1	153
CTNNBIP1	154
LZIC	155
NMNAT1;TMEM274P	156
NMNAT1	157
RBP7	158
UBE4B	159
KIF1B	160
PGD	161
CENPS	162
CORT	163
DFFA	164
PEX14	165
PEX14;RN7SL614P	166
CASZ1	167
HSPE1P24	168
C1orf127	169
CFL1P6	170
TARDBP	171
TARDBP;MASP2	172
MASP2	173
SRM	174
EXOSC10	175
MTOR	176
MTOR;ANGPTL7	177
UBIAD1	178
UBIAD1;UBE2V2P3	179
MTCYBP45	180
DISP3	181
LINC01647	182
FBXO2	183
FBXO2;FBXO44	184
FBXO44;MAD2L2	185
MAD2L2	186
MAD2L2;FBXO6	187
DRAXIN	188
AGTRAP	189
C1orf167	190
C1orf167;MTHFR	191
MTHFR	192
CLCN6	193
NPPA	194
NPPB	195
SBF1P2	196
KIAA2013	197
PLOD1	198
MFN2	199
MIIP	200
RN7SL649P	201
TNFRSF8	202
MIR7846	203
TNFRSF1B	204
TNFRSF1B;MIR4632	205
RPL10P17	206
SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70	207
VPS13D	208
LINC02766	209
DHRS3	210
AADACL4	211
AADACL3	212
CFAP107	213
PRAMEF12	214
PRAMEF1	215
LINC01784	216
PRAMEF11	217
PRAMEF30P	218
HNRNPCL1	219
PRAMEF2	220
PRAMEF4	221
PRAMEF10	222
PRAMEF7	223
PRAMEF29P	224
PRAMEF6	225
PRAMEF28P	226
PRAMEF27	227
HNRNPCL2	228
PRAMEF36P	229
PRAMEF26	230
HNRNPCL4	231
PRAMEF9	232
PRAMEF13	233
PRAMEF18	234
PRAMEF15	235
PRAMEF14	236
PRAMEF19	237
PRAMEF17	238
PRAMEF20	239
PDPN	240
RNA5SP41	241
PRDM2	242
KAZN	243
TMEM51	244
ZBTB2P1	245
FHAD1	246
EFHD2	247
CTRC	248
CELA2A	249
CELA2A;CELA2B	250
CELA2B	251
CASP9	252
DNAJC16	253
DNAJC16;AGMAT	254
CHCHD2P6	255
CD24P1	256
DDI2	257
DDI2;RSC1A1	258
PLEKHM2	259
TMEM82	260
FBLIM1	261
RPL12P14	262
UQCRHL	263
SPEN	264
ZBTB17	265
TBC1D3P6	266
SRARP	267
HSPB7	268
CLCNKA	269
CLCNKB	270
FAM131C	271
EPHA2	272
ARHGEF19	273
ANO7L1	274
CPLANE2	275
MT1XP1	276
FBXO42	277
SZRD1	278
SZRD1;RPL22P3	279
SZRD1;SPATA21	280
SPATA21	281
NECAP2	282
LINC01772	283
CROCCP3	284
LINC01783	285
PDE4DIPP8	286
NBPF1	287
CROCCP2	288
CROCCP2;MST1P2	289
EIF1AXP1	290
ESPNP	291
CROCC	292
CROCC;CROCCP4	293
CROCC;MST1L	294
CROCC;PDE4DIPP9	295
MFAP2	296
ATP13A2	297
SDHB	298
PADI2	299
LINC02783	300
PADI1	301
PADI3	302
PADI4	303
PADI6	304
RCC2	305
ARHGEF10L	306
LINC02810	307
ACTL8	308
LINC01654	309
IGSF21	310
KLHDC7A	311
DYNLL1P3	312
PAX7	313
TAS1R2	314
ALDH4A1	315
ALDH4A1;MIR1290	316
IFFO2	317
UBR4	318
EMC1	319
MRTO4	320
AKR7L	321
AKR7A3	322
AKR7A2	323
SLC66A1	324
CAPZB	325
MICOS10	326
MICOS10;NBL1	327
NBL1	328
HTR6	329
TMCO4	330
RNF186	331
OTUD3	332
PLA2G2E	333
RN7SL304P	334
PLA2G2A	335
PLA2G5	336
PLA2G2D	337
PLA2G2F	338
PLA2G2C	339
UBXN10	340
LINC01757	341
VWA5B1	342
LINC01141	343
CAMK2N1	344
